Interface Name,Source Name,Element Name,LDM Field,LDM Object,LDM Text,LDM Text Type,Internal ID
Realised Capital Gains Tax and Losses (CGT),BTFG$UI_CGT_REAL.BP_CONT_ASSETGRP_ASSET.XSD,asset_grp_id,Asset Group,,LDM:btfg$code_ldm_obj_fld.asset$asset_grp,ldm_obj_fld,asset$asset_grp
Realised Capital Gains Tax and Losses (CGT),BTFG$UI_CGT_REAL.BP_CONT_ASSETGRP_ASSET.XSD,cont_type_id,Container Type,,LDM:btfg$code_ldm_obj_fld.cont$cont_type,ldm_obj_fld,cont$cont_type
Unrealised Capital Gains Tax and Losses (CGT),BTFG$UI_CGT_UNREAL.BP_CONT_ASSETGRP_ASSET.XSD,bp_id,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
Unrealised Capital Gains Tax and Losses (CGT),BTFG$UI_CGT_UNREAL.BP_CONT_ASSETGRP_ASSET.XSD,asset_id,Asset,Asset,LDM:btfg$code_ldm_obj.asset,ldm_obj,asset
Unrealised Capital Gains Tax and Losses (CGT),BTFG$UI_CGT_UNREAL.BP_CONT_ASSETGRP_ASSET.XSD,cont_id,Container,Container,LDM:btfg$code_ldm_obj.cont,ldm_obj,cont
Unrealised Capital Gains Tax and Losses (CGT),BTFG$UI_CGT_UNREAL.BP_CONT_ASSETGRP_ASSET.XSD,asset_grp_id,Asset Group,,LDM:btfg$code_ldm_obj_fld.asset$asset_grp,ldm_obj_fld,asset$asset_grp
Unrealised Capital Gains Tax and Losses (CGT),BTFG$UI_CGT_UNREAL.BP_CONT_ASSETGRP_ASSET.XSD,cont_type_id,Container Type,,LDM:btfg$code_ldm_obj_fld.cont$cont_type,ldm_obj_fld,cont$cont_type
UI Container List,BTFG$UI_CONT_LIST.ALL#CUSTR.XSD,bp_id,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
UI Container List,BTFG$UI_CONT_LIST.ALL#CUSTR.XSD,cont,Container,Container,LDM:btfg$code_ldm_obj.cont,ldm_obj,cont
UI Container List,BTFG$UI_CONT_LIST.ALL#CUSTR.XSD,cont_type_id,Container Type,,LDM:btfg$code_ldm_obj_fld.cont$cont_type,ldm_obj_fld,cont$cont_type
UI Container List,BTFG$UI_CONT_LIST.ALL#CUSTR.XSD,dd_strat_id,Draw Down Strategy ID,,LDM:btfg$code_ldm_obj_fld.cont$dd_strat,ldm_obj_fld,cont$dd_strat
UI Container List,BTFG$UI_CONT_LIST.ALL#CUSTR.XSD,has_invst_mngt_fee,Container is Subject to Investment Management Fee,,LDM:btfg$code_ldm_obj_fld.cont$has_invst_mngt_fee,ldm_obj_fld,cont$has_invst_mngt_fee
UI Container List,BTFG$UI_CONT_LIST.ALL#CUSTR.XSD,has_tmp_mngt_fee,Container is Subject to Portfolio Management Fee,,LDM:btfg$code_ldm_obj_fld.cont$has_tmp_mngt_fee,ldm_obj_fld,cont$has_tmp_mngt_fee
UI Container List,BTFG$UI_CONT_LIST.ALL#CUSTR.XSD,ips_id,Investment Policy Statement,,LDM:btfg$code_ldm_obj_fld.cont$ips,ldm_obj_fld,cont$ips
UI Container List,BTFG$UI_CONT_LIST.ALL#CUSTR.XSD,prod_id,Product,,LDM:btfg$code_ldm_obj_fld.cont$prod,ldm_obj_fld,cont$prod
UI Container Preference List,BTFG$UI_CONT_LIST.BP_CONT_PREF.XSD,bp,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
UI Container Preference List,BTFG$UI_CONT_LIST.BP_CONT_PREF.XSD,cont,Container,Container,LDM:btfg$code_ldm_obj.cont,ldm_obj,cont
UI Clients,BTFG$UI_CUSTR_LIST.BP_PERSON_CONT.XSD,acc_id,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
UI Clients,BTFG$UI_CUSTR_LIST.BP_PERSON_CONT.XSD,invstr,Person,Person,LDM:btfg$code_ldm_obj.person,ldm_obj,person
UI Clients,BTFG$UI_CUSTR_LIST.BP_PERSON_CONT.XSD,bp_acc_status_id,BP Status ID,,LDM:btfg$code_ldm_obj_fld.acc$acc_status,ldm_obj_fld,acc$acc_status
UI Clients,BTFG$UI_CUSTR_LIST.BP_PERSON_CONT.XSD,bp_acc_struct_type_id,Account Structure Type ID,,LDM:btfg$code_ldm_obj_fld.acc$acc_struct_type,ldm_obj_fld,acc$acc_struct_type
